"","sum.water","sum.dst011","sum.dst040","sum.dst130","sum.dst140","sum.dst150","sum.dst160","sum.dst190","sum.dst200","sum.topo","sum.slope","sum.ntl","sum.pop19","sum.alb_srtm_topo_100m.2","sum.alb_srtm_slope_100m.2","sum.alb_viirs_100m_2015.2","sum.alb_ppp_2019.2","mean.water","mean.dst011","mean.dst040","mean.dst130","mean.dst140","mean.dst150","mean.dst160","mean.dst190","mean.dst200","mean.topo","mean.slope","mean.ntl","mean.pop19","mean.alb_srtm_topo_100m.2","mean.alb_srtm_slope_100m.2","mean.alb_viirs_100m_2015.2","mean.alb_ppp_2019.2"
"103",72337.2890625,3473.669921875,1647.01940917969,13460.6298828125,11800.0244140625,56927.6875,134884.859375,199452.640625,23696.310546875,14245466,243252.46875,2084.92553710938,1766.07275390625,14245466,243252.46875,2084.92553710938,1766.07275390625,5.07184982299805,0.243552565574646,0.115478962659836,0.943777322769165,0.827345788478851,3.99142265319824,9.45730400085449,13.9844036102295,1.6614408493042,998.805297851562,17.0553798675537,0.146182268857956,0.123826257884502,998.805297851562,17.0553798675537,0.146182268857956,0.123826257884502
"104",31606.94140625,3313.98193359375,-613.55322265625,6604.9228515625,9487.4765625,46411.12890625,133554.1875,74328.0859375,15868.61328125,4122673,112183.6796875,1076.38842773438,370.982055664062,4122673,112183.6796875,1076.38842773438,370.982055664062,3.83669185638428,0.402276426553726,-0.0744777768850327,0.801755964756012,1.15166234970093,5.63373708724976,16.2118263244629,9.02251052856445,1.92625343799591,500.441528320312,13.617712020874,0.130660250782967,0.0450654588639736,500.441528320312,13.617712020874,0.130660250782967,0.0450654588639736
"105",75276.4375,14085.078125,-3339.998046875,30239.52734375,14523.3193359375,57953.19140625,172970.796875,287538.34375,54472.35546875,20719044,257743.421875,2719.50317382812,442.036956787109,20719044,257743.421875,2719.50317382812,442.036956787109,4.92118310928345,0.920809388160706,-0.218351751565933,1.9769035577774,0.949459314346313,3.7886791229248,11.307933807373,18.7977657318115,3.56112027168274,1354.50366210938,16.8499279022217,0.177787020802498,0.0288980845361948,1354.50366210938,16.8499279022217,0.177787020802498,0.0288980845361948
"106",90803.125,3405.30883789062,1956.43298339844,9138.775390625,13778.7119140625,107732.46875,312877.375,71724.5078125,23338.873046875,5419167.5,199732.1875,4809.75732421875,3993.875,5419167.5,199732.1875,4809.75732421875,3993.875,5.71916007995605,0.214480563998222,0.123224318027496,0.575598239898682,0.867840826511383,6.78544092178345,19.7063236236572,4.51750898361206,1.46997964382172,341.321807861328,12.5799674987793,0.302938610315323,0.251570820808411,341.321807861328,12.5799674987793,0.302938610315323,0.251570820808411
"107",89859.84375,7786.93310546875,-3589.4111328125,21189.689453125,21202.49609375,63402.89453125,143440.9375,173821.890625,39121.09375,15882507,283899.15625,2074.13745117188,868.536315917969,15882507,283899.15625,2074.13745117188,868.536315917969,6.17494440078735,0.535098612308502,-0.246655389666557,1.4561026096344,1.45698273181915,4.35688877105713,9.85690402984619,11.9446067810059,2.68830418586731,1091.40625,19.5088424682617,0.142529562115669,0.0596836507320404,1091.40625,19.5088424682617,0.142529562115669,0.0596836507320404
"108",60390.23046875,9800.0546875,-3618.19555664062,19292.443359375,28343.279296875,53765.65625,139899.421875,145407.53125,15866.060546875,7468995,173409.765625,1635.30114746094,774.661010742188,7468995,173409.765625,1635.30114746094,774.661010742188,4.96800708770752,0.806202292442322,-0.297651141881943,1.58709442615509,2.33166217803955,4.42303609848022,11.5088367462158,11.9619617462158,1.30522274971008,614.437438964844,14.265567779541,0.134528174996376,0.0637275502085686,614.437438964844,14.265567779541,0.134528174996376,0.0637275502085686
"109",56173.05859375,2792.74633789062,-806.789672851562,5522.23388671875,9348.1142578125,80245.1171875,149717.578125,57255.05078125,17873.43359375,3344425.25,101618.9375,4803.38134765625,340.557800292969,3344425.25,101618.9375,4803.38134765625,340.557800292969,7.02623748779297,0.349322229623795,-0.100914850831032,0.690731942653656,1.16928064823151,10.0372180938721,18.7269706726074,7.16157484054565,2.23564434051514,418.327331542969,12.7106981277466,0.600816428661346,0.0425976440310478,418.327331542969,12.7106981277466,0.600816428661346,0.0425976440310478
"110",49737.3828125,3784.98999023438,-1338.60803222656,11117.0078125,13447.0498046875,76403.8125,211376.953125,92708.921875,39662.2890625,6538314,157160.21875,1624.30822753906,828.331481933594,6538314,157160.21875,1624.30822753906,828.331481933594,4.42654705047607,0.336858004331589,-0.119133964180946,0.989395797252655,1.19676578044891,6.79981660842896,18.8122081756592,8.25094509124756,3.5298798084259,581.8994140625,13.987006187439,0.144560813903809,0.0737201720476151,581.8994140625,13.987006187439,0.144560813903809,0.0737201720476151
"111",128454.65625,9162.1435546875,-433.325531005859,74592.953125,31965.826171875,133791.828125,403827.71875,122834.6796875,120419.4140625,34800080,453263.65625,4824.0048828125,5230.08544921875,34800080,453263.65625,4824.0048828125,5230.08544921875,4.72019290924072,0.336671978235245,-0.0159229729324579,2.74099159240723,1.17461574077606,4.91631269454956,14.8390474319458,4.51368141174316,4.42493009567261,1278.76318359375,16.6556186676025,0.177262812852859,0.192184641957283,1278.76318359375,16.6556186676025,0.177262812852859,0.192184641957283
"112",6534.0361328125,31.7169380187988,203.246551513672,1316.19738769531,1972.82080078125,8156.59033203125,27213.01953125,2796.25756835938,3742.3740234375,584283.6875,16400.791015625,1856.64233398438,6665.54248046875,584283.6875,16400.791015625,1856.64233398438,6665.54248046875,4.6164436340332,0.0224087312817574,0.143598258495331,0.929923117160797,1.39384233951569,5.76281452178955,19.2266101837158,1.97561895847321,2.64407157897949,412.8095703125,11.5875282287598,1.3117595911026,4.70935583114624,412.8095703125,11.5875282287598,1.3117595911026,4.70935583114624
"113",173033.015625,6683.54931640625,-2347.71508789062,23072.142578125,16078.7275390625,54380.07421875,277146.125,152422.5625,76705.765625,16372589,280276.375,2718.47338867188,1814.45751953125,16372589,280276.375,2718.47338867188,1814.45751953125,10.3035316467285,0.397982776165009,-0.139798492193222,1.37386810779572,0.957433879375458,3.23814964294434,16.5031147003174,9.07624816894531,4.56756925582886,974.932312011719,16.689510345459,0.161875903606415,0.108044810593128,974.932312011719,16.689510345459,0.161875903606415,0.108044810593128
"114",109138.9140625,-1372.72546386719,5537.7978515625,36441.6640625,13535.025390625,82700.8125,336735.21875,167415.4375,67261.390625,13623177,228382.5,2635.19921875,2599.8828125,13623177,228382.5,2635.19921875,2599.8828125,6.91163921356201,-0.0869330912828445,0.350702226161957,2.3078076839447,0.857157230377197,5.23734521865845,21.3250465393066,10.6022233963013,4.25958490371704,862.739807128906,14.4631958007812,0.166884064674377,0.16464751958847,862.739807128906,14.4631958007812,0.166884064674377,0.16464751958847
"115",5140.61181640625,-1510.22937011719,2479.31811523438,4929.08447265625,4930.32275390625,51177.40234375,60030.48046875,5654.82763671875,11641.23046875,2255006.5,26984.64453125,2259.83520507812,5317.9384765625,2255006.5,26984.64453125,2259.83520507812,5317.9384765625,1.55996513366699,-0.458292752504349,0.752371490001678,1.49577522277832,1.49615097045898,15.5302457809448,18.2167911529541,1.7160085439682,3.53263664245605,684.302124023438,8.18873405456543,0.685767412185669,1.61924695968628,684.302124023438,8.18873405456543,0.685767412185669,1.61924695968628
"116",44411.78125,7523.6044921875,-4682.45068359375,19929.6484375,17301.234375,35698.421875,249555.828125,62872.59375,63122.1484375,10387681,220676.234375,2839.89697265625,2692.20654296875,10387681,220676.234375,2839.89697265625,2692.20654296875,3.60681056976318,0.611013889312744,-0.38027548789978,1.61854493618011,1.40508377552032,2.89917302131653,20.2671585083008,5.10606718063354,5.12633419036865,843.613891601562,17.9217624664307,0.230636328458786,0.21867747604847,843.613891601562,17.9217624664307,0.230636328458786,0.21867747604847
